iter	Passed	Remaining
407	2250	3264
408	2252	3255
409	2256	3246
410	2258	3236
411	2261	3227
412	2264	3218
413	2266	3208
414	2270	3200
415	2272	3190
416	2275	3180
417	2277	3171
418	2280	3162
419	2283	3153
420	2286	3144
421	2288	3134
422	2291	3125
423	2293	3115
424	2296	3106
425	2300	3099
426	2302	3089
427	2305	3080
428	2307	3071
429	2310	3062
430	2313	3054
431	2316	3045
432	2319	3037
433	2321	3028
434	2324	3019
435	2329	3012
436	2332	3004
437	2335	2996
438	2337	2987
439	2340	2979
440	2343	2970
441	2346	2962
442	2348	2953
443	2351	2944
444	2353	2935
445	2359	2930
446	2363	2924
447	2367	2916
448	2371	2910
449	2374	2902
450	2377	2894
451	2380	2885
452	2383	2877
453	2386	2869
454	2388	2861
455	2392	2853
456	2394	2845
457	2397	2837
458	2401	2830
459	2405	2824
460	2408	2815
461	2410	2807
462	2414	2799
463	2416	2791
464	2419	2783
465	2423	2777
466	2426	2769
467	2429	2762
468	2432	2753
469	2435	2745
470	2438	2738
471	2441	2731
472	2445	2724
473	2449	2717
474	2451	2709
475	2454	2702
476	2458	2695
477	2461	2687
478	2464	2680
479	2467	2673
480	2470	2665
481	2473	2658
482	2476	2651
483	2479	2643
484	2481	2635
485	2484	2627
486	2487	2620
487	2492	2614
488	2495	2607
489	2499	2601
490	2504	2596
491	2507	2589
492	2511	2582
493	2513	2574
494	2516	2567
495	2519	2560
496	2522	2553
497	2526	2546
498	2529	2539
499	2532	2532
500	2537	2527
501	2540	2520
502	2543	2513
503	2547	2506
504	2550	2499
505	2552	2492
506	2555	2484
507	2557	2477
508	2561	2470
509	2564	2463
510	2566	2456
511	2569	2448
512	2572	2442
513	2575	2435
514	2578	2427
515	2580	2420
516	2583	2413
517	2586	2406
518	2589	2399
519	2592	2392
520	2595	2386
521	2598	2379
522	2600	2372
523	2603	2365
524	2606	2358
525	2609	2351
526	2612	2344
527	2614	2337
528	2617	2330
529	2620	2323
530	2622	2316
531	2625	2309
532	2628	2303
533	2631	2296
534	2634	2289
535	2636	2282
536	2639	2275
537	2642	2269
538	2645	2262
539	2648	2256
540	2651	2249
541	2653	2242
542	2656	2235
543	2659	2229
544	2662	2223
545	2665	2216
546	2668	2210
547	2671	2203
548	2674	2196
549	2677	2190
550	2680	2184
551	2682	2177
552	2685	2170
553	2688	2164
554	2692	2158
555	2694	2151
556	2697	2145
557	2700	2138
558	2702	2132
559	2706	2126
560	2709	2120
561	2711	2113
562	2714	2107
563	2717	2100
564	2719	2094
565	2722	2087
566	2725	2081
567	2728	2074
568	2730	2068
569	2733	2062
570	2736	2055
571	2739	2049
572	2741	2043
573	2744	2036
574	2746	2030
575	2749	2023
576	2752	2017
577	2754	2011
578	2757	2005
579	2760	1998
580	2763	1993
