iter	RMSE
0	0.9805222427
1	0.9607220738
2	0.9417233658
3	0.9236626067
4	0.9080785515
5	0.8923593871
6	0.8780273642
7	0.8647908929
8	0.8520220659
9	0.8391081266
10	0.8259595944
11	0.814573492
12	0.8031756772
13	0.7934484397
14	0.7842533595
15	0.7744333946
16	0.76623583
17	0.7589625971
18	0.7521032036
19	0.7444515675
20	0.7375524966
21	0.7308204832
22	0.7249508458
23	0.718793612
24	0.7139336778
25	0.7079051588
26	0.7034901999
27	0.6982618015
28	0.6930883792
29	0.6883602677
30	0.6843083581
31	0.6808809728
32	0.677473524
33	0.6729282507
34	0.6694069147
35	0.6659369952
36	0.6622632736
37	0.6590216948
38	0.6559121961
39	0.6528394638
40	0.6497283128
41	0.6476225238
42	0.6446347255
43	0.6418163422
44	0.6401124637
45	0.6376780127
46	0.6348655861
47	0.6321384203
48	0.629615298
49	0.6276430016
50	0.6254561042
51	0.6236648316
52	0.6215950333
53	0.6201430672
54	0.6181907784
55	0.6158644641
56	0.6142615058
57	0.6125740988
58	0.6108305742
59	0.6089001521
60	0.6074599858
61	0.6058081212
62	0.6044295506
63	0.6031609777
64	0.6016243289
65	0.5999147241
66	0.5982936268
67	0.5972974081
68	0.5958363975
69	0.5941187406
70	0.5925854102
71	0.5913494346
72	0.5900538906
73	0.5890871914
74	0.5882984591
75	0.5868325941
76	0.585409682
77	0.5845295096
78	0.5834583758
79	0.58252555
80	0.5817032873
81	0.5806142342
82	0.5795468698
83	0.5786834666
84	0.5776113701
85	0.5768152806
86	0.5756071666
87	0.5746848483
88	0.5732747252
89	0.5721919773
90	0.5715985068
91	0.5705404042
92	0.5697081902
93	0.5685170057
94	0.5676919861
95	0.5668480064
96	0.5660239212
97	0.5655828461
98	0.5647684074
99	0.5637090388
100	0.5625372371
101	0.5616104733
102	0.5609736157
103	0.56028819
104	0.5593393658
105	0.5587682031
106	0.5579659168
107	0.5570342586
108	0.5565459322
109	0.5555804607
110	0.5551302473
111	0.554540797
112	0.5538044627
113	0.5533257327
114	0.5525854426
115	0.5516946871
116	0.5512516619
117	0.5506051702
118	0.5498832271
119	0.5490480127
120	0.5483973949
121	0.5478928454
122	0.5473288016
123	0.5467791661
124	0.5461573376
125	0.5455898272
126	0.5446853429
127	0.5441309732
128	0.5431645657
129	0.5421952911
130	0.5414648381
131	0.5408649468
132	0.5401692553
133	0.5393342129
134	0.5387926781
135	0.5383116212
136	0.5378039806
137	0.5372341936
138	0.536503001
139	0.5358314122
140	0.5353186685
141	0.5348353993
142	0.5342644326
143	0.5336240647
144	0.53312316
145	0.5325466166
146	0.5320493055
147	0.5317677149
148	0.5312299488
149	0.5304440703
150	0.5300198498
151	0.5292571667
152	0.5286768457
153	0.5277058521
154	0.5271362228
155	0.526704316
156	0.5263974874
157	0.5255257384
158	0.5247257188
159	0.5239010471
160	0.523224919
161	0.5227133447
162	0.5218625013
163	0.5215265147
164	0.5210478192
165	0.5203037506
166	0.5197252639
167	0.5192882206
168	0.5187208997
169	0.517950037
170	0.5173061208
171	0.5169968185
172	0.5164815409
173	0.5160438919
174	0.5151690567
175	0.5148347992
176	0.5140338498
177	0.5137488086
178	0.513172707
179	0.5126583231
180	0.5123240453
